mode,test,trial,staleness_ms,violation
causal,causal_chain,6,,0
causal,causal_chain,7,,0
causal,causal_chain,8,,0
causal,causal_chain,9,,0
causal,causal_chain,10,,0
causal,causal_chain,11,,0
causal,causal_chain,12,,0
causal,causal_chain,13,,0
causal,causal_chain,14,,0
causal,causal_chain,15,,0
causal,causal_chain,16,,0
causal,causal_chain,17,,0
causal,causal_chain,18,,0
causal,causal_chain,19,,0
causal,causal_chain,20,,0
causal,causal_chain,21,,0
causal,causal_chain,22,,0
causal,causal_chain,23,,0
causal,causal_chain,24,,0
causal,causal_chain,25,,0
causal,causal_chain,26,,0
causal,causal_chain,27,,0
causal,causal_chain,28,,0
causal,causal_chain,29,,0
strong,staleness,0,15.00,
strong,staleness,1,0.00,
strong,staleness,2,0.00,
strong,staleness,3,0.00,
strong,staleness,4,0.00,
strong,staleness,5,0.00,
strong,staleness,6,0.00,
strong,staleness,7,0.00,
strong,staleness,8,0.00,
strong,staleness,9,0.00,
strong,staleness,10,0.00,
strong,staleness,11,0.00,
strong,staleness,12,0.00,
strong,staleness,13,0.00,
strong,staleness,14,0.00,
strong,staleness,15,0.00,
strong,staleness,16,0.00,
strong,staleness,17,0.00,
strong,staleness,18,0.00,
strong,staleness,19,0.00,
strong,staleness,20,0.00,
strong,staleness,21,0.00,
strong,staleness,22,0.00,
strong,staleness,23,0.00,
strong,staleness,24,0.00,
strong,staleness,25,0.00,
strong,staleness,26,0.00,
strong,staleness,27,0.00,
strong,staleness,28,0.00,
strong,staleness,29,0.00,
strong,staleness,30,0.00,
strong,staleness,31,0.00,
strong,staleness,32,0.00,
strong,staleness,33,0.00,
strong,staleness,34,0.00,
strong,staleness,35,0.00,
strong,staleness,36,0.00,
strong,staleness,37,0.00,
strong,staleness,38,0.00,
strong,staleness,39,0.00,
strong,staleness,40,0.00,
strong,staleness,41,0.00,
strong,staleness,42,0.00,
strong,staleness,43,0.00,
strong,staleness,44,0.00,
strong,staleness,45,0.00,
strong,staleness,46,0.00,
strong,staleness,47,0.00,
strong,staleness,48,0.00,
strong,staleness,49,0.00,
strong,causal_chain,0,,0
strong,causal_chain,1,,0
strong,causal_chain,2,,0
strong,causal_chain,3,,0
strong,causal_chain,4,,0
strong,causal_chain,5,,0
strong,causal_chain,6,,0
strong,causal_chain,7,,0
strong,causal_chain,8,,0
strong,causal_chain,9,,0
strong,causal_chain,10,,0
strong,causal_chain,11,,0
strong,causal_chain,12,,0
strong,causal_chain,13,,0
strong,causal_chain,14,,0
strong,causal_chain,15,,0
strong,causal_chain,16,,0
strong,causal_chain,17,,0
strong,causal_chain,18,,0
strong,causal_chain,19,,0
strong,causal_chain,20,,0
strong,causal_chain,21,,0
strong,causal_chain,22,,0
strong,causal_chain,23,,0
strong,causal_chain,24,,0
strong,causal_chain,25,,0
strong,causal_chain,26,,0
strong,causal_chain,27,,0
strong,causal_chain,28,,0
strong,causal_chain,29,,0
